char,name,replacement,codepoint,mufidecode
0,DIGIT ZERO,0,30,0
1,DIGIT ONE,1,31,1
2,DIGIT TWO,2,32,2
3,DIGIT THREE,3,33,3
4,DIGIT FOUR,4,34,4
5,DIGIT FIVE,5,35,5
6,DIGIT SIX,6,36,6
7,DIGIT SEVEN,7,37,7
8,DIGIT EIGHT,8,38,8
9,DIGIT NINE,9,39,9
́,COMBINING ACUTE ACCENT,́,301,
̀,COMBINING GRAVE ACCENT,̀,300,
̂,COMBINING CIRCUMFLEX ACCENT,̂,302,
̊,COMBINING RING ABOVE,ͦ,030A,o
̈,COMBINING DIAERESIS,̈,308,
̃,COMBINING TILDE,̃,303,
̧,COMBINING CEDILLA,̧,327,
̄,COMBINING MACRON,̃,,
᷑,COMBINING UR ABOVE,᷑,1DD1,ur
̾,COMBINING VERTICAL TILDE,̾,,er
͛,COMBINING ZIGZAG ABOVE,̾,,er
̰,COMBINING TILDE BELOW,̃,330,
-,HYPHEN-MINUS,-,002D,-
–,EN DASH,-,2013,
",",COMMA,",",002C,","
;,SEMICOLON    ,;,003B  ,;
:,COLON,:,003A,:
!,EXCLAMATION MARK,!,21,!
?,QUESTION MARK,?,003F,?
.,FULL STOP,.,002E,.
',APOSTROPHE,',27,'
‘,LEFT SINGLE QUOTATION MARK,,2018,
’,RIGHT SINGLE QUOTATION MARK,’,2019,'
„,DOUBLE LOW-9 QUOTATION MARK,„,201E,
"""",QUOTATION MARK,"""",22,
«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,«,00AB,
»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,», 00BB,
(,LEFT PARENTHESIS,(,28,(
),RIGHT PARENTHESIS,),29,)
[,LEFT SQUARE BRACKET,[,005B,[
],RIGHT SQUARE BRACKET,],,]
§,SECTION SIGN,§,00A7,
¶,PILCROW SIGN,¶,,¶
⁋,REVERSED PILCROW SIGN       ,¶, 204B  ,¶
*,ASTERISK,*,002A,*
/,SOLIDUS,,002F,/
&,AMPERSAND,&,26,&
⁊,TIRONIAN SIGN ET,⁊,,et
#,NUMBER SIGN,#,23,#
°,DEGREE SIGN,°,00B0,*
℟,RESPONSE,R,211F,R
¬,NOT SIGN,¬,00AC,
|,VERTICAL LINE,|,007C,|
½,VULGAR FRACTION ONE HALF,½,00BD,0.5
A,LATIN CAPITAL LETTER A,A,41,A
a,LATIN SMALL LETTER A,a,61,a
ͣ,COMBINING LATIN SMALL LETTER A,ͣ,,a
á,LATIN SMALL LETTER A WITH ACUTE,á,0,a
à,LATIN SMALL LETTER A WITH GRAVE,à,0,a
À,LATIN CAPITAL LETTER A WITH GRAVE,À,00C0,A
â,LATIN SMALL LETTER A WITH CIRCUMFLEX,â,0,a
ã,LATIN SMALL LETTER A WITH TILDE,ã,0,a
ā,LATIN SMALL LETTER A WITH MACRON,ã,101,a
Æ,LATIN CAPITAL LETTER AE,Æ,00C6,AE
æ,LATIN SMALL LETTER AE,æ,0,ae
ǽ,LATIN SMALL LETTER AE WITH ACUTE,æ,01FD,ae
B,LATIN CAPITAL LETTER B,B,42,B
b,LATIN SMALL LETTER B,b,62,b
C,LATIN CAPITAL LETTER C,C,43,C
c,LATIN SMALL LETTER C,c,63,c
ç,LATIN SMALL LETTER C WITH CEDILLA,ç,0,c
Ç,LATIN CAPITAL LETTER C WITH CEDILLA,Ç,00C7,C
ͨ,COMBINING LATIN SMALL LETTER C,ͨ,368,c
D,LATIN CAPITAL LETTER D,D,44,D
d,LATIN SMALL LETTER D,d,64,d
e,LATIN SMALL LETTER E,e,65,e
E,LATIN CAPITAL LETTER E,E,45,E
ͤ,COMBINING LATIN SMALL LETTER E,ͤ,,e
é,LATIN SMALL LETTER E WITH ACUTE,é,0,e
É,LATIN CAPITAL LETTER E WITH ACUTE,É,00C9,E
è,LATIN SMALL LETTER E WITH GRAVE,è,0,e
ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,ê,00EA,e
ë,LATIN SMALL LETTER E WITH DIAERESIS,ë,00EB,e
Ë,LATIN CAPITAL LETTER E WITH DIAERESIS,Ë,00CB,E
ẽ,LATIN SMALL LETTER E WITH TILDE,ẽ,1EBD,e
ɇ,LATIN SMALL LETTER E WITH STROKE,e,247,e
f,LATIN SMALL LETTER F,f,66,f
F,LATIN CAPITAL LETTER F,F,46,F
G,LATIN CAPITAL LETTER G,G,47,G
g,LATIN SMALL LETTER G,g,67,g
h,LATIN SMALL LETTER H,h,68,h
H,LATIN CAPITAL LETTER H,H,48,H
I,LATIN CAPITAL LETTER I,I,49,I
i,LATIN SMALL LETTER I,i,69,i
ͥ,COMBINING LATIN SMALL LETTER I,ͥ,,i
í,LATIN SMALL LETTER I WITH ACUTE,i,00ED,i
ì,LATIN SMALL LETTER I WITH GRAVE,i,00EC,i
î,LATIN SMALL LETTER I WITH CIRCUMFLEX,î,00EE,i
ï,LATIN SMALL LETTER I WITH DIAERESIS,ï,00EF,i
ĩ,LATIN SMALL LETTER I WITH TILDE,ĩ,129,i
j,LATIN SMALL LETTER J,j,006A,j
J,LATIN CAPITAL LETTER J,J,004A,J
k,LATIN SMALL LETTER K,k,006B,k
K,LATIN CAPITAL LETTER K,K,004B,K
L,LATIN CAPITAL LETTER L,L,004C,L
l,LATIN SMALL LETTER L,l,006C,l
ł,LATIN SMALL LETTER L WITH STROKE,ł,142,l
m,LATIN SMALL LETTER M,m,006D,m
M,LATIN CAPITAL LETTER M,M,004D,M
ḿ,LATIN SMALL LETTER M WITH ACUTE,m,1E3F,m
N,LATIN CAPITAL LETTER N,N,004E,N
n,LATIN SMALL LETTER N,n,006E,n
O,LATIN CAPITAL LETTER O,O,004F,O
o,LATIN SMALL LETTER O,o,006F,o
ͦ,COMBINING LATIN SMALL LETTER O,ͦ,,o
ó,LATIN SMALL LETTER O WITH ACUTE,o,00F3,o
ò,LATIN SMALL LETTER O WITH GRAVE,o,00F2,o
